Beat,Ward,Community Area,Day_sin,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Day Time_Afternoon,Day Time_Early Morning,Day Time_Morning,Day Time_Night,Domestic_tag,IUCR_freq,Primary_Type_freq,Location_Description_freq,FBI_Code_freq,Crime_District_freq,Nearest_Police_Station_District_freq,Nearest_Police_Station_District_Name_freq,X Coordinate_standardized,Y Coordinate_standardized,Latitude_standardized,Longitude_standardized,Distance Crime To Police Station_standardized,Arrest_tag
1023,28,29,-0.433883739117558,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0100449879799299,0.0620105936218815,0.005960159203583,0.0555915769733363,0.0410029027720974,0.0421400712226555,0.0421400712226555,-0.4311103369933587,0.1803467665043189,0.1818227885375853,-0.7651985523210904,-0.4258951023114819,0
1432,32,22,-0.9749279121818236,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0712974693014394,0.2280521501461361,0.0066933335993376,0.2310895869285479,0.0383744476254127,0.0592973495994972,0.0592973495994972,0.0049144688735647,0.8202051094303222,0.8186432173933803,-0.5528958433558775,0.6076272602633535,0
1914,46,3,0.9749279121818236,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0799658849464832,0.1797075282546459,0.0538259733264172,0.1492034833265169,0.0526888048758591,0.0481151931690091,0.0481151931690091,0.1944609716927833,1.3786257854906443,1.375125885781,0.3394206310278543,0.3785987734974152,0
1655,41,76,0.9749279121818236,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0748835399854362,0.2280521501461361,0.0005935221298965,0.2310895869285479,0.0353868866522359,0.0275364342786461,0.0275364342786461,-3.734696781671044,1.462404706182301,1.4718765492969414,-1.8872395428728828,3.0082821169154768,0
631,6,44,-0.433883739117558,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.0799658849464832,0.1797075282546459,0.1925355863898891,0.1492034833265169,0.0577761374178296,0.0944747578529461,0.0944747578529461,0.9492545138336156,-1.128603953607163,-1.1299789584278166,1.228325543638219,0.3166349056725162,0
2023,48,77,-0.433883739117558,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0100998513700884,0.0661053975600754,0.015825594270267,0.0730231723009705,0.0220201697772546,0.0386437769952817,0.0386437769952817,0.2103130547466522,1.5422604447871875,1.5383499807834076,-0.0454050520604762,0.6398498836569395,0
1215,27,24,-0.7818314824680299,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0142046304701293,0.0357459924787279,0.2733992359026025,0.0357459924787279,0.0624594759049965,0.0895719658051451,0.0895719658051451,0.0525940805492094,0.4870826562722977,0.486031463214774,0.497914907297862,0.5688716508920318,0
332,5,43,0.9749279121818236,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0020149826930941,0.1117317878482578,0.1925355863898891,0.1117317878482578,0.051571586748995,0.0944747578529461,0.0944747578529461,1.3907072703182062,-0.8640106327067395,-0.8678642688949305,1.228325543638219,-0.0717948417918304,0
812,13,64,-0.433883739117558,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0.0599656854432463,0.1117317878482578,0.2733992359026025,0.1117317878482578,0.067287454238945,0.0663348262825564,0.0663348262825564,-1.5596922966689988,-0.8211720154044349,-0.8135506748817567,-0.7745580100538958,1.6054624630676275,0
815,14,57,0.7818314824680298,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0628185817314885,0.0854671867051043,0.2733992359026025,0.0854671867051043,0.067287454238945,0.0663348262825564,0.0663348262825564,-1.0967744627418152,-0.5406012190699907,-0.5351712739418314,-0.7745580100538958,1.049194810377886,0
