Beat,Ward,Community Area,X Coordinate,Y Coordinate,Latitude,Longitude,Distance Crime To Police Station,Day_sin,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Day Time_Afternoon,Day Time_Early Morning,Day Time_Morning,Day Time_Night,Domestic_tag,IUCR_freq,Primary_Type_freq,Location_Description_freq,FBI_Code_freq,Crime_District_freq,Nearest_Police_Station_District_freq,Nearest_Police_Station_District_Name_freq,Arrest_tag
712,16,68,1171673.0,1864815.0,41.784509877,-87.66088702,7.202640163503343,-2.4492935982947064e-16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0599656854432463,0.1117317878482578,0.2733992359026025,0.1117317878482578,0.0422248600983551,0.042204909774661,0.042204909774661,0
1111,37,23,1148800.0,1905023.0,41.895316997,-87.70548813,8.039909649454485,-0.9749279121818236,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0588434797354587,0.0913774700994523,0.015825594270267,0.0762650999012459,0.0531476623208211,0.0565442049297249,0.0565442049297249,0
1822,27,8,1170903.0,1909223.0,41.906386097,-87.64335214,6.214004000740819,-0.433883739117558,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0015411625053616,0.0061546748595995,0.1214376203253897,0.1492034833265169,0.0508783130006284,0.0895719658051451,0.0895719658051451,0
623,6,69,1178476.0,1854486.0,41.756014092,-87.60574786,7.466310808482603,0.9749279121818236,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0799658849464832,0.1797075282546459,0.1214376203253897,0.1492034833265169,0.0577761374178296,0.0944747578529461,0.0944747578529461,0
1231,27,28,1164527.0,1895884.0,41.869920306,-87.65697251,7.26442343967376,0.4338837391175582,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0016808147712196,0.0661053975600754,0.2733992359026025,0.0730231723009705,0.0624594759049965,0.0319155303294795,0.0319155303294795,0
1224,27,28,1169980.0,1901223.0,41.884453785,-87.64335214,7.691081470146827,0.9749279121818236,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0446737623317938,0.2280521501461361,0.0353569611666949,0.2310895869285479,0.0624594759049965,0.0895719658051451,0.0895719658051451,0
2013,48,77,1167347.0,1935648.0,41.978974774,-87.67132429,7.822163440827839,0.9749279121818236,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0712974693014394,0.2280521501461361,0.0101447395983999,0.2310895869285479,0.0220201697772546,0.0386437769952817,0.0386437769952817,0
121,28,28,1173447.0,1898456.0,41.87678464,-87.65697251,7.679259893212459,0.9749279121818236,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0712974693014394,0.2280521501461361,0.0151323205219004,0.2310895869285479,0.0557860926293529,0.0319155303294795,0.0319155303294795,0
1221,36,24,1164072.0,1905043.0,41.895062969,-87.64335214,7.867945299433859,-0.7818314824680299,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0006334227772845,0.0006433979391315,0.1925355863898891,0.0762650999012459,0.0624594759049965,0.0895719658051451,0.0895719658051451,0
734,17,67,1167533.0,1858739.0,41.767926362,-87.66088702,7.171663043507183,0.9749279121818236,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0628185817314885,0.0854671867051043,0.2733992359026025,0.0854671867051043,0.0422248600983551,0.042204909774661,0.042204909774661,0
2432,49,1,1167108.0,1942847.0,41.998734156,-87.67132429,6.797700269135857,0.4338837391175582,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0446737623317938,0.2280521501461361,0.0173767319374756,0.2310895869285479,0.0338706620514917,0.0386437769952817,0.0386437769952817,0
1021,24,29,1153270.0,1892864.0,41.861863842,-87.70838196,6.530169214855586,-2.4492935982947064e-16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0599656854432463,0.1117317878482578,0.0236560963201627,0.1117317878482578,0.0410029027720974,0.0421400712226555,0.0421400712226555,0
1011,24,29,1150944.0,1892834.0,41.861827331,-87.70838196,7.108873532023198,0.4338837391175582,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0475665592674241,0.1117317878482578,0.1925355863898891,0.1117317878482578,0.0410029027720974,0.0421400712226555,0.0421400712226555,0
